cmip6-id, cmip6-label, cmip6-type
cmip6.oceanbgc, Oceanbgc, realm
, , 
cmip6.oceanbgc.key_properties, Oceanbgc > Key Properties, key-properties
cmip6.oceanbgc.key_properties.Time_stepping_framework, Oceanbgc > Key Properties > Time Stepping Framework, sub-process
cmip6.oceanbgc.key_properties.Transport_scheme, Oceanbgc > Key Properties > Transport Scheme, sub-process
cmip6.oceanbgc.key_properties.Boundary_forcing, Oceanbgc > Key Properties > Boundary Forcing, sub-process
cmip6.oceanbgc.key_properties.Gas_exchange, Oceanbgc > Key Properties > Gas Exchange, sub-process
cmip6.oceanbgc.key_properties.Carbon_chemistry, Oceanbgc > Key Properties > Carbon Chemistry, sub-process
, , 
cmip6.oceanbgc.tracers, Oceanbgc > Tracers, process
cmip6.oceanbgc.tracers.Ecosystem, Oceanbgc > Tracers > Ecosystem, sub-process
cmip6.oceanbgc.tracers.Disolved_organic_matter, Oceanbgc > Tracers > Disolved Organic Matter, sub-process
cmip6.oceanbgc.tracers.Particules, Oceanbgc > Tracers > Particules, sub-process
